Org,Packages,Last Publish Count,Last Publish Date,LogFolder,PublishToGroupIncluded,PublishToGroupExcluded,Authmethod,AppPublisherClientID
cscapitaladvisors.com,16,2,2023-11-23_21:14:54,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,
reliablerespiratory.com,19,19,2023-11-20_10:09:37,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,7c77f231-6c70-4a89-ab4d-977b18de5e55
rethinkit.com,36,1,2024-11-06_09:09:11,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,aaa5adb0-e682-4324-89ef-e11952fcf699
rhonegroup.com,21,21,2023-11-22_12:57:46,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,
sdccapitalpartners.com,26,1,2024-11-11_17:46:21,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,06573aef-e64c-42e6-bb4c-23181beba2c5
shelterrock.com,17,4,2023-11-23_19:06:52,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,
t-pacific.com,20,20,2023-11-23_18:37:07,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,
greycourt.com,19,2,2024-10-15_13:30:59,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,c7fa1bcc-3807-4434-abbe-1a6179f70ae6
5cwealth.com,18,1,2024-07-12_13:02:44,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,787996c5-5156-411e-9e1e-fa04dbdd1eae
centinelus.com,0,13,2024-09-23_18:58:36,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,30fe8caf-0ca8-4670-bd22-d4f6bd817fb5
blackwellscap.com,0,16,2024-10-08_11:06:41,C:\IntuneApp,Intune Windows Users,Intune Windows Users Excluded,,c34a0b76-8d09-48e0-98d7-d1e37f39b24d
